,m,R,|R|
328,,F₈ × F₃ × F₅,120
329,,F₁₆ × F₄₉,784
330,65,F₂ × F₆₄,128
331,,F₄ × F₄ × F₈,128
332,,F₄ × F₈ × F₄,128
333,,F₈ × F₄ × F₄,128
334,,F₆₄ × F₂,128
335,,F₃ × F₃ × F₃ × F₃,81
336,,F₅ × F₆₁,305
337,,F₂₅ × F₄₁,1025
338,,F₇ × F₅₉,413
339,,F₄₉ × F₁₇,833
340,,F₁₃ × F₅₃,689
341,,F₁₉ × F₄₇,893
342,,F₂₃ × F₄₃,989
343,,F₂₉ × F₃₇,1073
344,66,F₂ × F₁₆ × F₃,96
345,,F₈ × F₅₉,472
346,,F₁₆ × F₂ × F₃,96
347,,F₆₄ × F₃,192
348,67,F₄ × F₆₄,256
349,,F₆₄ × F₄,256
350,,F₉ × F₅₉,531
351,,F₂₇ × F₄₁,1107
352,,F₂₅ × F₄₃,1075
353,,F₇ × F₆₁,427
354,,F₄₉ × F₁₉,931
355,,F₃₁ × F₃₇,1147
356,68,F₂ × F₂ × F₂ × F₃ × F₃,72
357,,F₂ × F₂ × F₄ × F₅,80
358,,F₂ × F₄ × F₂ × F₅,80
359,,F₂ × F₄ × F₁₃,104
360,,F₂ × F₆₇,134
361,,F₄ × F₂ × F₂ × F₅,80
362,,F₄ × F₂ × F₁₃,104
363,,F₄ × F₅ × F₇,140
364,,F₈ × F₆₁,488
365,,F₁₆ × F₅₃,848
366,,F₃₂ × F₃₇,1184
367,,F₆₄ × F₅,320
368,69,F₃ × F₃ × F₁₃,117
369,,F₃ × F₆₇,201
370,,F₉ × F₆₁,549
371,,F₂₇ × F₄₃,1161
372,,F₁₁ × F₅₉,649
373,,F₁₇ × F₅₃,901
374,,F₂₃ × F₄₇,1081
375,,F₂₉ × F₄₁,1189
376,70,F₂ × F₂ × F₂₃,92
377,,F₂ × F₈ × F₇,112
378,,F₂ × F₃ × F₁₇,102
379,,F₂ × F₅ × F₁₁,110
380,,F₄ × F₆₇,268
381,,F₈ × F₂ × F₇,112
382,,F₆₄ × F₇,448
383,71,F₈ × F₆₄,512
384,,F₆₄ × F₈,512
385,,F₃ × F₉ × F₅,135
386,,F₉ × F₃ × F₅,135
387,,F₅ × F₆₇,335
388,,F₂₅ × F₄₇,1175
389,,F₄₉ × F₂₃,1127
390,,F₁₁ × F₆₁,671
391,,F₁₃ × F₅₉,767
392,,F₁₉ × F₅₃,1007
393,,F₂₉ × F₄₃,1247
394,,F₃₁ × F₄₁,1271
395,72,F₂ × F₂ × F₃ × F₇,84
396,,F₂ × F₇₁,142
397,,F₄ × F₄ × F₉,144
398,,F₄ × F₃ × F₁₁,132
